t,vx,vy,vz,omega
1.706049716472625732e+02,4.901212715186719499e-02,2.504723385147077791e-02,1.395365452791451910e-01,0.000000000000000000e+00
1.707451598644256592e+02,4.938045539814266138e-02,2.396400703804015334e-02,1.395969089605955671e-01,0.000000000000000000e+00
1.707897455692291260e+02,4.398283876145329951e-02,2.447682477999509748e-02,1.413024944690411955e-01,0.000000000000000000e+00
1.708595161437988281e+02,4.261674048273661475e-02,2.316786866809676659e-02,1.419403511761363201e-01,0.000000000000000000e+00
1.709050722122192383e+02,5.175306948571463395e-02,3.491787867702009218e-02,1.363904745482751590e-01,0.000000000000000000e+00
1.709485156536102295e+02,4.893514002998933937e-02,3.483461141650603943e-02,1.374478152525763774e-01,0.000000000000000000e+00
1.709933741092681885e+02,5.266593387897697265e-02,3.740592170759911989e-02,1.353776068257235565e-01,0.000000000000000000e+00
1.710385196208953857e+02,5.194729319525368677e-02,4.121889253655038748e-02,1.345454630515152405e-01,0.000000000000000000e+00
1.710799636840820312e+02,5.081248777996057869e-02,4.160864862821172377e-02,1.348584867368211593e-01,0.000000000000000000e+00
1.711247158050537109e+02,5.444889826218594214e-02,4.415524519434045614e-02,1.326108283657929654e-01,0.000000000000000000e+00
1.711703932285308838e+02,5.276051036534230854e-02,4.734567625275892810e-02,1.321919645294582224e-01,0.000000000000000000e+00
1.712139439582824707e+02,6.155490546250854539e-02,5.323749905246365210e-02,1.260030249959919468e-01,0.000000000000000000e+00
1.712567245960235596e+02,6.754205462202791943e-02,6.478518992549446576e-02,1.172217984154508841e-01,0.000000000000000000e+00
1.713030917644500732e+02,6.116879706038079456e-02,5.925430416527860400e-02,1.234799809850754548e-01,0.000000000000000000e+00
1.713458812236785889e+02,6.737681265791085894e-02,6.268941918998151286e-02,1.184499972042361987e-01,0.000000000000000000e+00
1.713948447704315186e+02,6.620039674397849849e-02,7.206929089105471031e-02,1.136816818198973511e-01,0.000000000000000000e+00
1.714409487247467041e+02,6.183218804292295312e-02,7.446272629683539646e-02,1.145953005767129662e-01,0.000000000000000000e+00
1.714850432872772217e+02,6.266318859997896396e-02,7.817444623327997333e-02,1.116336900339833932e-01,0.000000000000000000e+00
1.715310297012329102e+02,5.950582191773851753e-02,8.171480109254830593e-02,1.108230501308263838e-01,0.000000000000000000e+00
1.715761837959289551e+02,8.254538750577272710e-02,1.229235557919653582e-01,2.400121732290677601e-02,0.000000000000000000e+00
1.716198735237121582e+02,9.330775814189780359e-02,1.127264325978799969e-01,3.296078980074243492e-02,0.000000000000000000e+00
1.716609175205230713e+02,9.329895624593159686e-02,1.126765529301317070e-01,3.315568100948861757e-02,0.000000000000000000e+00
1.717054331302642822e+02,5.101627140346880890e-02,6.459620684497761889e-02,-1.253980466886485123e-01,0.000000000000000000e+00
1.717497944831848145e+02,9.343034100903180317e-02,1.167108795525858000e-01,-1.222055534735796457e-02,0.000000000000000000e+00
1.717936286926269531e+02,9.350471474026783580e-02,1.166297851328733648e-01,-1.242423201654445884e-02,0.000000000000000000e+00
1.718433377742767334e+02,5.068753627027997727e-02,5.846019666754179167e-02,-1.285036150170157099e-01,0.000000000000000000e+00
1.719390516281127930e+02,9.788407823410516517e-02,9.597455246513657279e-02,-6.089000334518242241e-02,0.000000000000000000e+00
1.719816346168518066e+02,1.107226780792229942e-01,1.011226790078189608e-01,-3.833060036883878443e-03,0.000000000000000000e+00
1.720443232059478760e+02,1.148931320734192102e-01,9.150019341043900967e-02,-3.045131866130106058e-02,0.000000000000000000e+00
1.721025283336639404e+02,9.983545431174116469e-02,7.161746915809936997e-02,-8.604545411442099390e-02,0.000000000000000000e+00
1.721489715576171875e+02,8.065346819266909495e-02,4.708544175246428404e-02,-1.173796372607676664e-01,0.000000000000000000e+00
