t,m1,m2,m3,m4,vbat
1.326123723983764648e+02,5.416500000000000000e+04,3.941900000000000000e+04,5.366600000000000000e+04,4.114700000000000000e+04,3.314955949783325195e+00
1.326609280109405518e+02,5.028500000000000000e+04,4.357600000000000000e+04,5.466200000000000000e+04,4.178700000000000000e+04,3.309677362442016602e+00
1.327029404640197754e+02,5.124200000000000000e+04,4.803700000000000000e+04,5.327100000000000000e+04,3.648900000000000000e+04,3.309677362442016602e+00
1.327472002506256104e+02,5.249100000000000000e+04,4.749300000000000000e+04,5.213800000000000000e+04,3.802500000000000000e+04,3.304398775100708008e+00
1.327919886112213135e+02,5.265800000000000000e+04,4.633700000000000000e+04,5.030400000000000000e+04,4.254200000000000000e+04,3.304398775100708008e+00
1.328363015651702881e+02,4.845100000000000000e+04,4.988500000000000000e+04,4.847100000000000000e+04,4.676500000000000000e+04,3.304398775100708008e+00
1.328843200206756592e+02,5.195200000000000000e+04,4.926500000000000000e+04,4.777400000000000000e+04,4.424700000000000000e+04,3.299120187759399414e+00
1.329275069236755371e+02,5.114500000000000000e+04,5.255900000000000000e+04,4.693600000000000000e+04,4.265700000000000000e+04,3.299120187759399414e+00
1.329689354896545410e+02,3.959000000000000000e+04,5.682100000000000000e+04,4.375100000000000000e+04,5.096700000000000000e+04,3.299120187759399414e+00
1.330132753849029541e+02,4.538800000000000000e+04,5.222900000000000000e+04,4.975500000000000000e+04,4.678500000000000000e+04,3.299120187759399414e+00
1.330545151233673096e+02,4.858200000000000000e+04,5.261100000000000000e+04,4.672600000000000000e+04,4.604000000000000000e+04,3.299120187759399414e+00
1.330976278781890869e+02,4.964500000000000000e+04,5.147300000000000000e+04,4.564400000000000000e+04,4.809300000000000000e+04,3.299120187759399414e+00
1.331424002647399902e+02,4.773700000000000000e+04,5.308400000000000000e+04,4.622100000000000000e+04,4.602500000000000000e+04,3.293841600418090820e+00
1.331857390403747559e+02,4.739500000000000000e+04,5.316800000000000000e+04,4.690100000000000000e+04,4.452000000000000000e+04,3.304398775100708008e+00
1.332341203689575195e+02,4.871600000000000000e+04,5.143900000000000000e+04,4.527100000000000000e+04,4.658500000000000000e+04,3.309677362442016602e+00
