t,x,y,z,yaw
3.316481647491455078e+02,2.098354578018188477e+00,-3.827266693115234375e+00,2.736399769783020020e-01,-1.172953099779332382e-02
3.316588397026062012e+02,2.098354578018188477e+00,-3.827266693115234375e+00,2.736399769783020020e-01,-1.172953099779332382e-02
3.316692540645599365e+02,2.098354578018188477e+00,-3.827266693115234375e+00,2.736399769783020020e-01,-1.172953099779332382e-02
3.316797506809234619e+02,2.098354578018188477e+00,-3.827266693115234375e+00,2.736399769783020020e-01,-1.172953099779332382e-02
3.316888914108276367e+02,2.098354578018188477e+00,-3.827266693115234375e+00,2.736399769783020020e-01,-1.172953099779332382e-02
3.316994376182556152e+02,2.098354578018188477e+00,-3.827266693115234375e+00,2.736399769783020020e-01,-1.172953099779332382e-02
3.317090816497802734e+02,2.098354578018188477e+00,-3.827266693115234375e+00,2.736399769783020020e-01,-1.172953099779332382e-02
3.317206332683563232e+02,2.098354578018188477e+00,-3.827266693115234375e+00,2.736399769783020020e-01,-1.172953099779332382e-02
3.317288260459899902e+02,2.098354578018188477e+00,-3.827266693115234375e+00,2.736399769783020020e-01,-1.172953099779332382e-02
3.317382586002349854e+02,2.103418350219726562e+00,-3.827137470245361328e+00,2.565987110137939453e-01,-1.219982027916609833e-02
3.317484445571899414e+02,2.103418350219726562e+00,-3.827137470245361328e+00,2.565987110137939453e-01,-1.219982027916609833e-02
3.317612242698669434e+02,2.103418350219726562e+00,-3.827137470245361328e+00,2.565987110137939453e-01,-1.219982027916609833e-02
3.317694895267486572e+02,2.103418350219726562e+00,-3.827137470245361328e+00,2.565987110137939453e-01,-1.219982027916609833e-02
3.317784466743469238e+02,2.103418350219726562e+00,-3.827137470245361328e+00,2.565987110137939453e-01,-1.219982027916609833e-02
3.317885692119598389e+02,2.103418350219726562e+00,-3.827137470245361328e+00,2.565987110137939453e-01,-1.219982027916609833e-02
3.317984867095947266e+02,2.103418350219726562e+00,-3.827137470245361328e+00,2.565987110137939453e-01,-1.219982027916609833e-02
3.318086874485015869e+02,2.103418350219726562e+00,-3.827137470245361328e+00,2.565987110137939453e-01,-1.219982027916609833e-02
3.318194963932037354e+02,2.103418350219726562e+00,-3.827137470245361328e+00,2.565987110137939453e-01,-1.219982027916609833e-02
3.318291656970977783e+02,2.103418350219726562e+00,-3.827137470245361328e+00,2.565987110137939453e-01,-1.219982027916609833e-02
3.318378143310546875e+02,2.109532833099365234e+00,-3.827930927276611328e+00,2.467573285102844238e-01,-1.462166256407863157e-02
